detail_id,transaction_id,item_id,quantity
0,T0000000113,S005,1
1,T0000000114,S001,1
2,T0000000115,S003,1
3,T0000000116,S005,1
4,T0000000117,S002,2
5,T0000000118,S003,1
6,T0000000119,S004,1
7,T0000000120,S001,1
8,T0000000121,S005,1
9,T0000000122,S002,1
10,T0000000123,S001,1
11,T0000000124,S003,1
12,T0000000125,S004,1
13,T0000000126,S002,2
14,T0000000127,S002,1
15,T0000000128,S005,1
16,T0000000129,S001,1
17,T0000000130,S005,1
18,T0000000131,S002,1
19,T0000000132,S004,1
20,T0000000133,S005,1
21,T0000000134,S001,3
22,T0000000135,S001,2
23,T0000000136,S003,1
24,T0000000137,S005,1
25,T0000000138,S001,1
26,T0000000139,S001,2
27,T0000000140,S001,3
28,T0000000141,S005,1
29,T0000000142,S001,2
30,T0000000143,S002,1
31,T0000000144,S002,1
32,T0000000145,S002,1
33,T0000000146,S003,1
34,T0000000147,S001,1
35,T0000000148,S002,1
36,T0000000149,S001,2
37,T0000000150,S004,1
38,T0000000151,S001,1
39,T0000000152,S005,1
40,T0000000153,S003,1
41,T0000000154,S001,1
42,T0000000155,S003,1
43,T0000000156,S005,1
44,T0000000157,S005,1
45,T0000000158,S003,1
46,T0000000159,S001,1
47,T0000000160,S001,2
48,T0000000161,S003,1
49,T0000000162,S001,1
50,T0000000163,S005,1
51,T0000000164,S001,3
52,T0000000165,S003,1
53,T0000000166,S002,1
54,T0000000167,S004,1
55,T0000000168,S005,1
56,T0000000169,S004,1
57,T0000000170,S001,3
58,T0000000171,S003,1
59,T0000000172,S002,1
60,T0000000173,S001,1
61,T0000000174,S005,1
62,T0000000175,S001,2
63,T0000000176,S004,1
64,T0000000177,S001,2
65,T0000000178,S003,1
66,T0000000179,S003,1
67,T0000000180,S003,1
68,T0000000181,S001,1
69,T0000000182,S005,1
70,T0000000183,S001,1
71,T0000000184,S003,1
72,T0000000185,S004,1
73,T0000000186,S003,1
74,T0000000187,S001,1
75,T0000000188,S001,2
76,T0000000189,S002,1
77,T0000000190,S002,1
78,T0000000191,S004,1
79,T0000000192,S004,1
80,T0000000193,S005,1
81,T0000000194,S002,1
82,T0000000194,S005,1
83,T0000000195,S004,1
84,T0000000196,S002,1
85,T0000000197,S005,1
86,T0000000198,S003,1
87,T0000000199,S003,1
88,T0000000200,S001,1
89,T0000000201,S001,1
90,T0000000202,S002,1
91,T0000000203,S005,1
92,T0000000204,S002,2
93,T0000000205,S003,1
94,T0000000206,S005,1
95,T0000000207,S005,1
96,T0000000208,S003,1
97,T0000000208,S001,1
98,T0000000209,S002,2
99,T0000000210,S002,1
100,T0000000211,S005,1
101,T0000000212,S004,1
102,T0000000213,S003,1
103,T0000000214,S002,1
104,T0000000215,S001,1
105,T0000000216,S001,1
106,T0000000217,S003,1
107,T0000000218,S003,1
108,T0000000219,S003,1
109,T0000000219,S002,1
110,T0000000220,S002,1
111,T0000000221,S002,1
112,T0000000222,S004,1
113,T0000000223,S003,1
114,T0000000224,S001,1
115,T0000000225,S002,1
116,T0000000226,S001,1
117,T0000000227,S005,1
118,T0000000228,S002,2
119,T0000000229,S005,1
