customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted,class_name,price,campaign_name,mean,median,max,min,routine_flg,calc_date,membership_period
OA832399,XXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.833333333,5,8,2,1,2019-04-30,47
PL270116,XXXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,5.083333333,5,7,3,1,2019-04-30,47
OA974876,XXXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.583333333,5,6,3,1,2019-04-30,47
HD024127,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.833333333,4.5,7,2,1,2019-04-30,47
HD661448,XXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,3.916666667,4,6,1,1,2019-04-30,47
IK271057,XXXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,3.75,3.5,5,2,1,2019-04-30,47
HI324666,XXXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,3.916666667,3.5,7,2,1,2019-04-30,47
AS647421,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.5,4,9,2,1,2019-04-30,47
AS069821,XXXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.083333333,3.5,7,2,1,2019-04-30,47
GD039425,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.666666667,4.5,7,3,1,2019-04-30,47
OA789036,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.75,5,7,1,1,2019-04-30,47
AS058623,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.5,5,6,3,1,2019-04-30,47
AS857207,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.5,5,8,2,1,2019-04-30,47
AS625883,XXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.75,5,6,2,1,2019-04-30,47
HD782984,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.833333333,5,7,2,1,2019-04-30,47
HI804186,XXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.833333333,5,7,2,1,2019-04-30,47
AS732240,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.666666667,5,7,2,1,2019-04-30,47
PL834411,XXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.916666667,4.5,8,1,1,2019-04-30,47
HD516059,XXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,4.166666667,4,7,1,1,2019-04-30,47
HD194702,XXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.916666667,5,8,1,1,2019-04-30,47
IK102369,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.75,5,6,3,1,2019-04-30,47
AS183155,XXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.5,4.5,7,2,1,2019-04-30,47
HI339146,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.5,4.5,7,2,1,2019-04-30,47
AS476267,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.916666667,5,7,3,1,2019-04-30,47
PL928545,XXXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.333333333,4,7,2,1,2019-04-30,47
OA372777,XXXXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,3.666666667,4,6,1,1,2019-04-30,47
PL765022,XXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.583333333,4.5,7,3,1,2019-04-30,47
OA803393,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.75,4.5,8,2,1,2019-04-30,47
OA071756,XXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.166666667,4,6,2,1,2019-04-30,47
HI598974,XXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,5.083333333,5,7,3,1,2019-04-30,47
GD214739,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,5.416666667,5,8,3,1,2019-04-30,47
OA557824,XXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.25,4,8,1,1,2019-04-30,47
IK098074,XX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.083333333,3.5,7,1,1,2019-04-30,47
HD792156,XXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.666666667,5,7,2,1,2019-04-30,47
OA478509,XXXX,C02,M,2015-05-01,,CA1,0,주간,7500,일반,4.666666667,5,7,2,1,2019-04-30,47
HI388582,XX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.833333333,5,6,3,1,2019-04-30,47
TS210661,XXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.833333333,4.5,8,3,1,2019-04-30,47
TS837282,XXXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,5.583333333,5.5,8,3,1,2019-04-30,47
OA758157,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4,4,6,2,1,2019-04-30,47
OA790739,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.833333333,5,7,3,1,2019-04-30,47
AS734592,XX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,5.333333333,6,8,2,1,2019-04-30,47
GD022268,XXX,C02,M,2015-05-01,,CA1,0,주간,7500,일반,4.166666667,5,7,1,1,2019-04-30,47
IK059803,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.25,4,6,3,1,2019-04-30,47
TS487207,XX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4,4,6,2,1,2019-04-30,47
OA994859,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,5.5,5,9,3,1,2019-04-30,47
PL221419,XXXX,C02,M,2015-05-01,,CA1,0,주간,7500,일반,5.5,5.5,9,3,1,2019-04-30,47
HI570349,XXXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.916666667,5,7,2,1,2019-04-30,47
TS945284,XXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,4.583333333,4.5,7,3,1,2019-04-30,47
PL152568,XXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.666666667,5,8,2,1,2019-04-30,47
GD967749,XXXX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.666666667,4.5,8,3,1,2019-04-30,47
HI635742,XXXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.416666667,4.5,6,2,1,2019-04-30,47
AS970810,XXXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.333333333,4,6,2,1,2019-04-30,47
GD163149,XXXXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,4.916666667,5,8,2,1,2019-04-30,47
HD124700,XXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.5,4,8,2,1,2019-04-30,47
HD349501,XX,C01,F,2015-05-01,,CA1,0,종일,10500,일반,4.833333333,5,8,1,1,2019-04-30,47
GD126553,XXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,5.333333333,5,8,3,1,2019-04-30,47
AS926104,XXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.416666667,4.5,6,3,1,2019-04-30,47
GD360440,XXXXXX,C03,M,2015-05-01,,CA1,0,야간,6000,일반,4.5,5,6,1,1,2019-04-30,47
IK701555,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.75,5,6,1,1,2019-04-30,47
AS777651,XXXXX,C01,M,2015-05-01,,CA1,0,종일,10500,일반,4.166666667,3.5,7,2,1,2019-04-30,47
PL241896,XXXX,C03,F,2015-05-01,,CA1,0,야간,6000,일반,4.333333333,4,7,2,1,2019-04-30,47
PL920046,XXXXX,C02,F,2015-05-01,,CA1,0,주간,7500,일반,4.333333333,4,8,2,1,2019-04-30,47
PL367795,XXXX,C01,F,2015-06-01,,CA1,0,종일,10500,일반,3.416666667,4,7,1,1,2019-04-30,46
HI324110,XXXXX,C01,M,2015-06-01,,CA1,0,종일,10500,일반,3.416666667,3,7,1,1,2019-04-30,46
OA630902,XXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,4.666666667,5,8,3,1,2019-04-30,46
GD292781,XXXX,C02,F,2015-06-01,,CA1,0,주간,7500,일반,4.666666667,5,7,2,1,2019-04-30,46
PL912172,XXXXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,4.5,4.5,7,2,1,2019-04-30,46
HI582217,XXXXX,C01,M,2015-06-01,,CA1,0,종일,10500,일반,4.666666667,4.5,7,3,1,2019-04-30,46
TS038130,XXXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,4.75,5,7,2,1,2019-04-30,46
TS200932,XXX,C01,F,2015-06-01,,CA1,0,종일,10500,일반,4.916666667,5,7,2,1,2019-04-30,46
GD728611,XXXXX,C02,F,2015-06-01,,CA1,0,주간,7500,일반,3.833333333,3.5,6,1,1,2019-04-30,46
HI525851,XXXXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,4.833333333,4.5,8,2,1,2019-04-30,46
PL540895,XXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,4.666666667,4.5,7,2,1,2019-04-30,46
PL410964,XXXXX,C01,M,2015-06-01,,CA1,0,종일,10500,일반,4.25,4,7,1,1,2019-04-30,46
HI728364,XXXX,C01,M,2015-06-01,,CA1,0,종일,10500,일반,4.25,4,7,2,1,2019-04-30,46
HI373547,XXXXX,C01,F,2015-06-01,,CA1,0,종일,10500,일반,4,3,8,2,1,2019-04-30,46
GD489678,XXXXX,C01,M,2015-06-01,,CA1,0,종일,10500,일반,4.75,4.5,9,2,1,2019-04-30,46
OA504016,XXXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,3.833333333,4,6,2,1,2019-04-30,46
IK124414,XXXXX,C03,M,2015-06-01,,CA1,0,야간,6000,일반,5.083333333,5,8,4,1,2019-04-30,46
IK351897,XXXXX,C02,M,2015-06-01,,CA1,0,주간,7500,일반,4.333333333,4,8,2,1,2019-04-30,46
