customer_id,name,class,gender,start_date,end_date,campaign_id,is_deleted
OA832399,XXXX,C01,F,2015-05-01 00:00:00,,CA1,0
PL270116,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0
OA974876,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0
HD024127,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0
HD661448,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0
IK271057,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0
HI324666,XXXXX,C01,M,2015-05-01 00:00:00,,CA1,0
AS647421,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0
AS069821,XXXXXX,C03,F,2015-05-01 00:00:00,,CA1,0
GD039425,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0
OA789036,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
AS058623,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0
AS857207,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
AS625883,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0
HD782984,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
HI804186,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0
AS732240,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
PL834411,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0
HD516059,XXX,C03,M,2015-05-01 00:00:00,,CA1,0
HD194702,XXXX,C02,F,2015-05-01 00:00:00,,CA1,0
IK102369,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0
AS183155,XXXXX,C03,F,2015-05-01 00:00:00,,CA1,0
HI339146,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0
AS476267,XXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
PL928545,XXXXXX,C02,F,2015-05-01 00:00:00,,CA1,0
OA372777,XXXXX,C03,M,2015-05-01 00:00:00,,CA1,0
PL765022,XXX,C01,M,2015-05-01 00:00:00,,CA1,0
OA803393,XXXX,C01,M,2015-05-01 00:00:00,,CA1,0
OA071756,XXX,C01,M,2015-05-01 00:00:00,,CA1,0
