TRID,TransactionDate,ToFC,FromWH,Quantity
0,2019-01-01 02:11:10,FC00004,WH00003,33
1,2019-01-01 06:12:42,FC00007,WH00006,19
2,2019-01-01 06:32:32,FC00006,WH00004,31
3,2019-01-01 07:17:06,FC00002,WH00003,18
4,2019-01-01 07:52:18,FC00001,WH00002,30
5,2019-01-01 08:56:09,FC00005,WH00005,31
6,2019-01-01 09:00:15,FC00006,WH00006,33
7,2019-01-01 09:09:30,FC00001,WH00003,12
8,2019-01-01 10:52:55,FC00003,WH00003,27
9,2019-01-01 14:12:51,FC00006,WH00006,21
10,2019-01-01 17:14:43,FC00006,WH00006,36
11,2019-01-01 19:16:11,FC00003,WH00002,21
12,2019-01-01 20:16:02,FC00006,WH00005,37
13,2019-01-02 05:27:02,FC00005,WH00004,42
14,2019-01-02 07:44:00,FC00004,WH00001,35
15,2019-01-02 08:21:07,FC00005,WH00005,33
16,2019-01-02 11:04:17,FC00001,WH00001,38
17,2019-01-02 11:30:12,FC00005,WH00006,26
18,2019-01-02 14:59:24,FC00003,WH00002,13
19,2019-01-02 19:05:57,FC00001,WH00002,29
20,2019-01-02 22:00:54,FC00002,WH00001,18
21,2019-01-03 02:19:12,FC00004,WH00001,21
22,2019-01-03 03:27:51,FC00001,WH00001,33
23,2019-01-03 06:32:49,FC00005,WH00005,44
24,2019-01-03 06:44:26,FC00006,WH00005,19
25,2019-01-03 08:52:11,FC00007,WH00005,25
26,2019-01-03 10:42:42,FC00006,WH00004,33
27,2019-01-03 15:41:05,FC00006,WH00005,37
28,2019-01-03 20:23:03,FC00002,WH00003,17
29,2019-01-03 21:52:06,FC00005,WH00005,39
30,2019-01-04 01:28:14,FC00002,WH00003,29
31,2019-01-04 04:43:52,FC00004,WH00003,25
32,2019-01-04 08:05:05,FC00003,WH00001,12
33,2019-01-04 08:13:08,FC00007,WH00004,22
34,2019-01-04 10:04:37,FC00006,WH00004,18
35,2019-01-04 15:22:52,FC00005,WH00006,37
36,2019-01-04 16:53:06,FC00004,WH00001,33
37,2019-01-04 20:59:44,FC00007,WH00006,30
38,2019-01-04 21:09:21,FC00007,WH00005,37
39,2019-01-05 00:33:48,FC00005,WH00005,44
40,2019-01-05 05:50:27,FC00006,WH00005,23
41,2019-01-05 09:47:50,FC00001,WH00001,24
42,2019-01-05 15:40:04,FC00008,WH00005,22
43,2019-01-05 16:14:59,FC00001,WH00002,22
44,2019-01-05 18:11:00,FC00007,WH00006,25
45,2019-01-05 19:16:29,FC00007,WH00004,29
46,2019-01-06 01:54:06,FC00002,WH00003,37
47,2019-01-06 03:32:08,FC00003,WH00002,23
48,2019-01-06 04:05:57,FC00002,WH00003,27
